ID,site_code,quadrat_num,longitude,latitude
2,AMSUMMIT,0m,-141.2496443,64.59844752
3,AMSUMMIT,10m,-141.2494379,64.5984553
4,AMSUMMIT,20m,-141.2492319,64.59846364
5,AMSUMMIT,30m,-141.2490236,64.59847257
6,AMSUMMIT,40m,-141.2488171,64.59848353
7,AMSUMMIT,50m,-141.2486117,64.59849628
8,AMSUMMIT,60m,-141.2484045,64.59850947
9,AMSUMMIT,70m,-141.2481973,64.59851792
10,AMSUMMIT,80m,-141.2479888,64.59852586
1,AMSUMMIT,90m,-141.2477826,64.5985343
13,AUFEIS,0m,-140.7056572,68.78082325
14,AUFEIS,10m,-140.7055463,68.78090223
15,AUFEIS,20m,-140.7054378,68.78098267
16,AUFEIS,30m,-140.7053299,68.78106234
17,AUFEIS,40m,-140.7052206,68.78114242
18,AUFEIS,50m,-140.7051057,68.78122147
19,AUFEIS,60m,-140.7049861,68.78129977
20,AUFEIS,70m,-140.7048722,68.78137849
11,AUFEIS,80m,-140.7047665,68.78145897
12,AUFEIS,90m,-140.7046636,68.78153983
21,BABBAGE,0m,-139.0841682,68.69617187
22,BABBAGE,10m,-139.0840692,68.69625394
23,BABBAGE,20m,-139.0839565,68.69633401
24,BABBAGE,30m,-139.0838538,68.6964159
25,BABBAGE,40m,-139.0837541,68.69649772
26,BABBAGE,50m,-139.0836492,68.69657916
27,BABBAGE,60m,-139.0835439,68.69666002
29,BABBAGE,70m,-139.0834459,68.69674206
28,BABBAGE,80m,-139.0833531,68.696825
30,BABBAGE,90m,-139.0832573,68.69690758
31,BLOWRIVER,0m,-137.4558982,68.77311319
32,BLOWRIVER,10m,-137.4560581,68.77318063
33,BLOWRIVER,20m,-137.4562186,68.77324851
34,BLOWRIVER,30m,-137.4563788,68.77331603
35,BLOWRIVER,40m,-137.4565372,68.77338512
40,BLOWRIVER,50m,-137.4566958,68.77345034
39,BLOWRIVER,60m,-137.4568608,68.7735199
38,BLOWRIVER,70m,-137.4570232,68.77358634
37,BLOWRIVER,80m,-137.4571883,68.77365313
36,BLOWRIVER,90m,-137.4573595,68.77371692
60,BROWNSCREEK,0m,-140.8156379,64.13663884
51,BROWNSCREEK,10m,-140.8157322,64.13655996
59,BROWNSCREEK,20m,-140.8158294,64.13648136
58,BROWNSCREEK,30m,-140.81593,64.13640305
57,BROWNSCREEK,40m,-140.8160318,64.13632513
56,BROWNSCREEK,50m,-140.8161312,64.13624706
55,BROWNSCREEK,60m,-140.8162274,64.13616792
54,BROWNSCREEK,70m,-140.8163215,64.13608875
53,BROWNSCREEK,80m,-140.8164188,64.13600967
52,BROWNSCREEK,90m,-140.8165166,64.13593112
61,BUTLER,0m,-140.6492854,63.92065951
63,BUTLER,10m,-140.6493829,63.92073752
64,BUTLER,20m,-140.6494837,63.9208159
65,BUTLER,30m,-140.6495847,63.92089348
66,BUTLER,40m,-140.6496865,63.92097107
67,BUTLER,50m,-140.6497885,63.9210488
68,BUTLER,60m,-140.6498915,63.92112617
69,BUTLER,70m,-140.6499972,63.92120172
70,BUTLER,80m,-140.6501017,63.9212793
62,BUTLER,90m,-140.6501997,63.92135748
80,CALF,0m,-140.7765667,69.47963415
79,CALF,10m,-140.7765892,69.47954458
78,CALF,20m,-140.7766166,69.4794564
77,CALF,30m,-140.7766351,69.47936685
76,CALF,40m,-140.7766636,69.47927789
75,CALF,50m,-140.7766955,69.47918912
74,CALF,60m,-140.7767259,69.47910016
73,CALF,70m,-140.7767562,69.47901143
72,CALF,80m,-140.7767885,69.4789229
71,CALF,90m,-140.7768238,69.47883417
81,CARIBOUCREEK,0m,-143.1270794,64.13762852
90,CARIBOUCREEK,10m,-143.1271132,64.13771591
89,CARIBOUCREEK,20m,-143.1271478,64.13780393
88,CARIBOUCREEK,30m,-143.12718,64.13789225
87,CARIBOUCREEK,40m,-143.127212,64.13798047
86,CARIBOUCREEK,50m,-143.1272471,64.13806777
85,CARIBOUCREEK,60m,-143.1272828,64.13815564
84,CARIBOUCREEK,70m,-143.1273182,64.13824361
83,CARIBOUCREEK,80m,-143.1273568,64.13833129
82,CARIBOUCREEK,90m,-143.1273946,64.13841909
101,COALCREEK,0m,-139.9074041,64.56009212
102,COALCREEK,10m,-139.9071982,64.56010327
103,COALCREEK,20m,-139.9069928,64.56011476
104,COALCREEK,30m,-139.9067877,64.56012881
105,COALCREEK,40m,-139.9065835,64.56014319
106,COALCREEK,50m,-139.9063789,64.56015749
107,COALCREEK,60m,-139.9061734,64.56017295
108,COALCREEK,70m,-139.9059673,64.56018632
109,COALCREEK,80m,-139.9057618,64.56019926
110,COALCREEK,90m,-139.9055554,64.56021153
120,DEW,0m,-137.329509,68.85713427
119,DEW,10m,-137.3297516,68.85715172
118,DEW,20m,-137.329995,68.85717121
117,DEW,30m,-137.3302352,68.85719073
116,DEW,40m,-137.3304764,68.85720775
115,DEW,50m,-137.3307211,68.8572226
114,DEW,60m,-137.3309672,68.85723517
113,DEW,70m,-137.3312117,68.85724593
112,DEW,80m,-137.3314586,68.85725388
111,DEW,90m,-137.3317064,68.85726035
130,EXCELSIOR,0m,-138.9777992,62.76514101
129,EXCELSIOR,10m,-138.9779854,62.76516731
128,EXCELSIOR,20m,-138.9781712,62.7651924
127,EXCELSIOR,30m,-138.9783588,62.765219
126,EXCELSIOR,40m,-138.9785435,62.76524929
125,EXCELSIOR,50m,-138.978728,62.76527743
124,EXCELSIOR,60m,-138.9789145,62.76530435
123,EXCELSIOR,70m,-138.9790996,62.76533123
122,EXCELSIOR,80m,-138.9792878,62.76535541
121,EXCELSIOR,90m,-138.9794754,62.76537993
139,FIRTH,0m,-140.1466618,69.16179967
638,FIRTH,10m,-140.1467734,69.16171972
138,FIRTH,20m,-140.1468825,69.16163915
137,FIRTH,30m,-140.1469894,69.16155821
136,FIRTH,40m,-140.1470874,69.16147607
135,FIRTH,50m,-140.1471853,69.16139296
134,FIRTH,60m,-140.1472808,69.16131102
133,FIRTH,70m,-140.1473709,69.16122734
132,FIRTH,80m,-140.1474572,69.16114307
131,FIRTH,90m,-140.1475471,69.16105977
159,FOSSILCREEK,0m,-147.2054598,65.53034866
158,FOSSILCREEK,10m,-147.2056416,65.53039791
157,FOSSILCREEK,20m,-147.2058156,65.5304508
156,FOSSILCREEK,30m,-147.2059861,65.53050617
155,FOSSILCREEK,40m,-147.2061414,65.53056801
154,FOSSILCREEK,50m,-147.206298,65.53062974
153,FOSSILCREEK,60m,-147.2064551,65.53069164
152,FOSSILCREEK,70m,-147.2066116,65.53075334
151,FOSSILCREEK,80m,-147.2067676,65.53081513
150,FOSSILCREEK,90m,-147.206926,65.53087609
